Mudel,Train_kadu,Val_kadu,Precision,Recall,F1,Accuracy,Epohh
100K,0.2673,0.184147343,0.560040363,0.406891496,0.47133758,0.939848141,epohh-1
100K,0.1618,0.151107401,0.622082585,0.508064516,0.559322034,0.949659797,epohh-2
100K,0.115,0.146103576,0.608482871,0.546920821,0.576061776,0.950448674,epohh-3
100K,,,0.583602585,0.533013648,0.557162136,0.949064449,test
200K,0.2604,0.171435818,0.559086395,0.412756598,0.474905103,0.941031456,epohh-1
200K,0.1591,0.144854084,0.626548673,0.519061584,0.56776263,0.949807711,epohh-2
200K,0.1198,0.139684632,0.609561753,0.56085044,0.58419244,0.951089636,epohh-3
200K,,,0.600963468,0.552194762,0.575547866,0.950722701,test
300K,0.2625,0.175079286,0.569529652,0.408357771,0.475661827,0.940587713,epohh-1
300K,0.1643,0.145498857,0.628054299,0.508797654,0.562170919,0.949363968,epohh-2
300K,0.1279,0.140155882,0.627146361,0.562316716,0.592964824,0.951878513,epohh-3
300K,,,0.609087188,0.548874954,0.5774156,0.950920701,test
400K,0.267,0.176426038,0.555327869,0.397360704,0.463247863,0.938073168,epohh-1
400K,0.1679,0.150109932,0.615384615,0.51026393,0.557915832,0.948377872,epohh-2
400K,0.1343,0.143178031,0.621621622,0.556451613,0.587234043,0.950991027,epohh-3
400K,,,0.5964559,0.546292881,0.570273392,0.948717949,test
500K,0.2717,0.185606286,0.528784648,0.363636364,0.430929626,0.935361404,epohh-1
500K,0.1745,0.162240028,0.573921028,0.458211144,0.509580106,0.942510601,epohh-2
500K,0.14,0.149215505,0.580952381,0.536656891,0.557926829,0.946997338,epohh-3
500K,,,0.584821429,0.531538178,0.556908213,0.947604198,test
EstBERT,0.1237,0.073305897,0.792798484,0.833887043,0.812823834,0.976398319,epohh-1
EstBERT,0.0445,0.070225567,0.837329877,0.858471761,0.847769029,0.981386541,epohh-2
EstBERT,0.0192,0.073984876,0.834403081,0.863787375,0.848841006,0.981802226,epohh-3
EstBERT,,,0.838476691,0.847660139,0.843043407,0.980348991,test
