Mudel,Train_kadu,Val_kadu,Precision,Recall,F1,Accuracy,Epohh
100K,0.541,0.364,0.87,0.867,0.867,0.867,1
100K,0.286,0.294,0.895,0.894,0.894,0.894,2
100K,0.203,0.278,0.904,0.903,0.903,0.903,3
100K,,,0.911,0.91,0.91,0.91,test
300K,0.576,0.378,0.866,0.863,0.863,0.863,1
300K,0.306,0.31,0.89,0.889,0.889,0.889,2
300K,0.235,0.28,0.903,0.901,0.902,0.901,3
300K,,,0.905,0.904,0.905,0.904,test
500K,0.619,0.393,0.86,0.857,0.857,0.857,1
500K,0.323,0.301,0.891,0.89,0.89,0.89,2
500K,0.252,0.282,0.9,0.9,0.9,0.9,3
500K,,,0.905,0.905,0.905,0.905,test
EstBERT,0.195,0.143,0.96,0.959,0.959,0.959,1
EstBERT,0.072,0.124,0.967,0.967,0.967,0.967,2
EstBERT,0.035,0.129,0.97,0.97,0.97,0.97,3
EstBERT,,,0.963,0.963,0.963,0.963,test
